Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
11/3/2015,4519.9,4521.2,4465.05,4467,4482.55,320901,14398.02
11/4/2015,4487.75,4536.55,4455.1,4521.35,4520.55,660804,29788.45
11/5/2015,4518.95,4555,4496.4,4518,4526.6,406256,18421.64
11/6/2015,4532.95,4535.35,4481.05,4533.95,4522.8,361975,16342.47
11/9/2015,4440,4639,4440,4627,4628.2,729714,33530.92
11/10/2015,4649.5,4729.95,4629.75,4715.15,4712.7,909977,42668.09
11/11/2015,4730,4757.1,4723.05,4745,4746.75,86592,4106.35
11/13/2015,4734.45,4737.25,4602.4,4620,4619.8,983107,45881.31
11/16/2015,4600,4664,4572.9,4659.6,4646.9,644299,29805.54
11/17/2015,4645.4,4676.15,4618,4634.95,4632.25,638262,29664.87
11/18/2015,4634.5,4652,4525,4537,4533.25,725994,33207.59
11/19/2015,4580.9,4661.5,4571.05,4654.2,4650.35,1030684,47647.45
11/20/2015,4666,4766,4631,4735,4737.9,917455,43329.99
11/23/2015,4730,4790,4702.35,4737.9,4736.25,1034126,49040.83
11/24/2015,4724.05,4724.05,4621,4634,4639.9,1287988,59947.24
11/26/2015,4659.95,4659.95,4577.95,4617.3,4606.55,1436728,66247.11
11/27/2015,4680,4680,4556.4,4577.85,4580.05,1231876,56473.37
11/30/2015,4586,4700,4492.1,4555,4606.9,10567769,487899.24
12/1/2015,4609,4616,4531.35,4545,4556.2,1506622,68832.43
12/2/2015,4600,4627.35,4556.2,4619,4618.8,1123497,51612.73
12/3/2015,4609,4644.7,4600.5,4630.2,4627.05,567288,26253.24
12/4/2015,4610,4634,4579.15,4603,4600.35,581041,26731.37
12/7/2015,4622,4640,4558,4559.95,4564.2,493623,22662.85
12/8/2015,4540,4579.8,4520,4544,4542.55,577670,26247.92
12/9/2015,4538.8,4542,4470,4473.55,4479.1,607147,27312.65
12/10/2015,4495,4519.8,4406.05,4517.45,4498.1,506406,22558.6
12/11/2015,4519.75,4528,4412,4497,4480.75,532721,23876.61
12/14/2015,4478.9,4590,4471.5,4590,4576.8,484617,22035.76
12/15/2015,4605,4634,4563.1,4630.85,4620,581111,26728.31
12/16/2015,4655,4657.15,4604,4612.65,4619.4,357572,16539.9
12/17/2015,4650,4679,4573.85,4671,4666.75,443534,20498.37
12/18/2015,4684.7,4702,4611.5,4617,4620.45,682206,31726.08
12/21/2015,4626.9,4660,4616.25,4635,4639.1,274072,12710.89
12/22/2015,4630,4644.95,4602.05,4620.9,4617.2,207127,9568.61
12/23/2015,4635,4656,4620,4633,4634.95,227939,10569.5
12/24/2015,4633.25,4634.35,4586.15,4600,4598.4,162732,7490.51
12/28/2015,4598.4,4645.95,4588,4635.55,4640,272134,12584.26
12/29/2015,4641.95,4655.9,4612.8,4635.8,4636.9,253128,11730.48
12/30/2015,4637,4642.9,4575,4580,4587.2,265170,12216.4
12/31/2015,4587,4637,4566.3,4620,4621.95,422019,19437.9
1/1/2016,4621,4668,4602.35,4635,4638.5,243597,11303.71
1/4/2016,4635,4657,4571.75,4576.1,4580.65,405501,18674.29
1/5/2016,4599.95,4600.75,4557.25,4570.8,4566.95,509285,23306.79
1/6/2016,4592,4593,4468,4481.25,4480.8,593742,26893.9
1/7/2016,4449.7,4449.7,4251.85,4290,4267.9,1200069,51609.18
1/8/2016,4286.3,4325,4195.8,4223.8,4214.75,994652,42186.59
1/11/2016,4190,4300,4117,4292,4272.4,865799,36787.76
1/12/2016,4310,4324.8,4260,4269,4266.7,481142,20617.5
1/13/2016,4298,4310,4221.35,4285,4291.25,431206,18438.25
1/14/2016,4239,4289,4212.7,4255.9,4248.25,402026,17069.76
1/15/2016,4265,4340,4254,4263.45,4273.35,592183,25451.84
1/18/2016,4279,4289.25,4172.85,4215,4236.2,396124,16752.55
1/19/2016,4241,4244.95,4165,4190,4198.15,499001,20954.28
1/20/2016,4169.85,4189.95,4028.5,4055,4058.95,679992,27897.77
1/21/2016,4084.95,4084.95,3870,3901,3891.7,1212801,47772.13
1/22/2016,3942.95,4119.9,3930.15,4092.3,4104.95,1063413,42881.33
1/25/2016,4125.95,4172,4073.9,4082,4081.35,608634,25063.09
1/27/2016,4131,4179,4092,4128.65,4111.95,886550,36584.27
1/28/2016,4080,4139.9,4031,4109,4103.3,1677354,68557.11
1/29/2016,3925,4124,3923,4111.95,4095.85,2147231,86482.58
2/1/2016,4100.9,4119,3933.65,3951.15,3948.25,1904034,76045.67
2/2/2016,3952.6,3985,3851.55,3866,3874.95,902619,35498.66
2/3/2016,3870,3870,3784.65,3835,3828.35,1101308,42149.24
2/4/2016,3864,3881.9,3774,3793.05,3794.65,597800,22927.77
2/5/2016,3784.7,3790,3693.3,3731.4,3723.4,1245857,46471.28
